1617311614.174300,0
1617311614.292034,0
1617311614.402979,4
1617311614.513122,12
1617311614.641778,20
1617311614.754115,29
1617311614.863456,38
1617311614.971494,43
1617311615.082665,51
1617311615.192338,58
1617311615.300483,67
1617311615.410616,73
1617311615.535969,84
1617311615.692018,96
1617311615.802338,100
1617311615.927924,100
1617311616.060797,100
1617311616.173546,99
1617311616.281550,99
1617311616.407825,100
1617311616.541813,98
1617311616.686830,100
1617311616.800474,97
1617311616.907504,99
1617311617.025294,99
1617311617.159448,99
1617311617.271602,100
1617311617.381978,99
1617311617.494710,99
1617311617.604437,99
1617311617.714230,98
1617311617.825752,98
1617311617.954133,99
1617311618.084117,99
1617311618.194999,98
1617311618.334770,99
1617311618.445660,99
1617311618.561798,100
1617311618.691701,100
1617311618.798640,98
1617311618.911931,98
1617311619.048387,97
1617311619.181952,97
1617311619.294865,100
1617311619.404792,98
1617311619.513750,99
1617311619.631863,99
1617311619.740609,100
1617311619.848464,99
1617311619.956707,99
1617311620.066155,94
1617311620.178211,100
1617311620.294034,100
1617311620.426945,100
1617311620.537317,100
1617311620.644658,99
1617311620.764153,100
1617311620.910702,100
1617311621.025118,100
1617311621.141070,94
1617311621.270243,96
1617311621.385569,85
1617311621.492952,73
1617311621.602047,59
1617311621.711681,46
1617311621.863025,31
1617311621.993367,44
1617311622.117262,26
1617311622.226429,18
1617311622.345186,20
1617311622.459375,27
1617311622.571794,34
1617311622.692030,52
1617311622.810798,50
1617311622.920219,49
1617311623.028458,49
1617311623.140730,52
1617311623.250628,52
1617311623.362344,51
1617311623.470275,51
1617311623.596435,52
1617311623.754846,50
1617311623.865447,50
1617311624.016564,50
1617311624.166039,51
1617311624.278245,51
1617311624.401894,50
1617311624.521704,51
1617311624.628956,50
1617311624.740130,50
1617311624.856295,50
1617311624.964738,50
1617311625.072360,51
1617311625.182756,50
1617311625.290210,51
1617311625.396858,50
1617311625.549474,50
1617311625.662505,50
1617311625.770653,51
1617311625.877905,51
1617311625.990331,51
1617311626.133654,51
1617311626.245495,51
1617311626.360782,51
1617311626.520997,57
1617311626.634777,57
1617311626.743578,58
1617311626.850698,57
1617311627.009089,57
1617311627.116645,57
1617311627.263657,53
1617311627.401889,53
1617311627.515768,53
1617311627.623795,52
1617311627.743999,52
1617311627.864117,52
1617311627.981017,52
1617311628.095963,51
1617311628.218791,52
1617311628.362303,52
1617311628.475873,52
1617311628.604702,52
1617311628.732461,51
1617311628.847679,51
1617311628.995392,51
1617311629.128617,52
1617311629.241232,52
1617311629.351905,52
1617311629.465486,52
1617311629.598275,51
1617311629.713608,52
1617311629.825005,53
1617311629.940331,51
1617311630.054324,52
1617311630.170394,51
1617311630.310677,51
1617311630.421983,55
1617311630.531533,54
1617311630.642583,53
1617311630.751917,53
1617311630.863705,54
1617311630.976577,54
1617311631.084350,53
1617311631.193956,62
1617311631.302992,63
1617311631.413207,63
1617311631.523820,62
1617311631.646024,63
1617311631.754477,64
1617311631.867591,64
